[2025-02-19 14:01:13] info: 	z2m: Logging to console, file (filename: log.log)
[2025-02-19 14:01:13] info: 	z2m: Starting Zigbee2MQTT version 2.1.1 (commit #1accb8b66b95b99658c50e4c0209edcb946a5fe2)
[2025-02-19 14:01:13] info: 	z2m: Starting zigbee-herdsman (3.2.5)
[2025-02-19 14:01:13] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"ITead","serialNumber":"2ce7b14df766ec11b1a42142ef680de7","pnpId":"usb-ITead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_2ce7b14df766ec11b1a42142ef680de7-if00-port0","vendorId":"10c4","productId":"ea60"} => zstack: path=/dev/ttyUSB0, score=4
[2025-02-19 14:01:13] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-02-19 14:01:13] info: 	zh:zstack:znp: Serialport opened
[2025-02-19 14:01:13] info: 	z2m: zigbee-herdsman started (resumed)
[2025-02-19 14:01:13] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20230507,"transportrev":2},"type":"zStack3x0"}'
[2025-02-19 14:01:13] info: 	z2m: Currently 0 devices are joined.
[2025-02-19 14:01:13] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto:1884
[2025-02-19 14:01:13] error: 	z2m: MQTT failed to connect, exiting... (connect ECONNREFUSED 172.18.0.2:1884)
[2025-02-19 14:01:13] info: 	z2m: Stopping zigbee-herdsman...
[2025-02-19 14:01:23] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2025-02-19 14:01:23] info: 	zh:zstack:znp: closing
[2025-02-19 14:01:23] info: 	zh:zstack:znp: Port closed
[2025-02-19 14:01:23] info: 	z2m: Stopped zigbee-herdsman
